"branch","row_id","company_identifier","account_identifier","campaign_identifier","adset_identifier","ad_identifier","creative_identifier","current_primary_decision_shown_to_operator","current_internal_segment","legacy_segment","legacy_action","recommended_action","actionability_state","reason_tags","spend","purchases","impressions","age_days","active_days","active_status","roas","cpa","recent_roas","recent_cpa","recent_purchases","recent_impressions","long90_roas","trend_roas_ratio","active_benchmark_scope","active_benchmark_label","active_benchmark_roas","active_benchmark_cpa","peer_median_spend","benchmark_reliability","source_trust_flags","campaign_context_blocker_flags","queue_eligible","apply_eligible","push_readiness","warnings_shown_in_ui_or_instruction_fields","instruction_headline","reason_summary","source_artifact_generated_at","source_artifact_window_start","source_artifact_window_end","source_artifact_kind"
"pr74","company-01|company-01-account-01|company-01-campaign-01|company-01-adset-01|company-01-creative-01","company-01","company-01-account-01","company-01-campaign-01","company-01-adset-01",,"company-01-creative-01","Retest","needs_new_variant","Watch","watch","hold_no_touch","blocked","","2383.21","55","901895",,,"false","4","43.33","3.38","59.72","9","430395","3.67",,"account","Account-wide","3.24","45.67","163.13","strong","{""evidenceSource"":""live"",""trustState"":""live_confident"",""activeStatusSource"":""campaign_and_adset"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""campaignStatus"":""PAUSED"",""adSetStatus"":""CAMPAIGN_PAUSED"",""activeStatusSource"":""campaign_and_adset""}","false","false","blocked_from_push","Review reactivation in a controlled test before restoring spend.|Performance slips back toward target instead of materially beating it.|A high-severity promo or blocker changes the account posture.|Top GEO economics or serviceability constraints tighten.|missing_input:Target pack is not configured yet.|missing_input:Country economics are not configured for the live decision window.|missing_input:Site health and stock pressure constraints are not configured.","Retest: company-01-creative-01","This paused creative has enough historical winner evidence to review a controlled retest, not protect current delivery.","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24","committed_sanitized_artifact_not_fresh_local_rerun"
"pr74","company-01|company-01-account-01|company-01-campaign-02|company-01-adset-02|company-01-creative-02","company-01","company-01-account-01","company-01-campaign-02","company-01-adset-02",,"company-01-creative-02","Scale Review","scale_review","Watch","watch","hold_no_touch","blocked","","1673.21","57","622920",,,"false","5.43","29.35","5.66","28.41","19","256218","3.74",,"account","Account-wide","3.24","45.93","163.13","strong","{""evidenceSource"":""live"",""trustState"":""live_confident"",""activeStatusSource"":""campaign_and_adset"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""campaignStatus"":""ACTIVE"",""adSetStatus"":""UNKNOWN"",""activeStatusSource"":""campaign_and_adset""}","false","false","blocked_from_push","Performance slips back toward target instead of materially beating it.|A high-severity promo or blocker changes the account posture.|Top GEO economics or serviceability constraints tighten.|Keep monitoring efficiency drift after deployment.|missing_input:Target pack is not configured yet.|missing_input:Country economics are not configured for the live decision window.|missing_input:Site health and stock pressure constraints are not configured.","Scale Review: company-01-creative-02","Strong relative performer against the Account-wide benchmark. Business validation is still missing, so this stays review-only.","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24","committed_sanitized_artifact_not_fresh_local_rerun"
"pr74","company-01|company-01-account-01|company-01-campaign-01|company-01-adset-01|company-01-creative-03","company-01","company-01-account-01","company-01-campaign-01","company-01-adset-01",,"company-01-creative-03","Scale Review","scale_review","Watch","watch","keep_in_test","review_only","","998.74","31","189204",,,"false","9.08","32.22","6.5","28.05","6","42990","9.17",,"account","Account-wide","3.24","45.93","163.13","strong","{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""activeStatusSource"":""campaign_and_adset"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""campaignStatus"":""PAUSED"",""adSetStatus"":""CAMPAIGN_PAUSED"",""activeStatusSource"":""campaign_and_adset""}","false","false","operator_review_required","Performance slips back toward target instead of materially beating it.|A high-severity promo or blocker changes the account posture.|Top GEO economics or serviceability constraints tighten.|Keep monitoring efficiency drift after deployment.|missing_input:Target pack is not configured yet.|missing_input:Country economics are not configured for the live decision window.|missing_input:Site health and stock pressure constraints are not configured.","Scale Review: company-01-creative-03","Strong relative performer against the Account-wide benchmark. Business validation is still missing, so this stays review-only.","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24","committed_sanitized_artifact_not_fresh_local_rerun"
"pr74","company-01|company-01-account-01|company-01-campaign-01|company-01-adset-01|company-01-creative-04","company-01","company-01-account-01","company-01-campaign-01","company-01-adset-01",,"company-01-creative-04","Protect","protected_winner","Watch","watch","hold_no_touch","blocked","","818.04","15","320930",,,"false","3.73","54.54","1.68","63.81","10","167480","3.47",,"account","Account-wide","3.24","43.07","163.13","strong","{""evidenceSource"":""live"",""trustState"":""live_confident"",""activeStatusSource"":""campaign_and_adset"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""campaignStatus"":""PAUSED"",""adSetStatus"":""CAMPAIGN_PAUSED"",""activeStatusSource"":""campaign_and_adset""}","false","false","blocked_from_push","Performance slips back toward target instead of materially beating it.|A high-severity promo or blocker changes the account posture.|Top GEO economics or serviceability constraints tighten.|Keep monitoring efficiency drift after deployment.|missing_input:Target pack is not configured yet.|missing_input:Country economics are not configured for the live decision window.|missing_input:Site health and stock pressure constraints are not configured.","Protect: company-01-creative-04","Deterministic engine marks this as a shipped winner that should stay protected.","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24","committed_sanitized_artifact_not_fresh_local_rerun"
"pr74","company-01|company-01-account-01|company-01-campaign-03|company-01-adset-03|company-01-creative-05","company-01","company-01-account-01","company-01-campaign-03","company-01-adset-03",,"company-01-creative-05","Scale Review","scale_review","Watch","watch","keep_in_test","review_only","","796.13","21","79575",,,"false","4.62","37.91","1.68","64.5","3","19987","3.69",,"account","Account-wide","3.24","45.93","163.13","strong","{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""activeStatusSource"":""campaign_and_adset"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""campaignStatus"":""ACTIVE"",""adSetStatus"":""UNKNOWN"",""activeStatusSource"":""campaign_and_adset""}","false","false","operator_review_required","Performance slips back toward target instead of materially beating it.|A high-severity promo or blocker changes the account posture.|Top GEO economics or serviceability constraints tighten.|Keep monitoring efficiency drift after deployment.|missing_input:Target pack is not configured yet.|missing_input:Country economics are not configured for the live decision window.|missing_input:Site health and stock pressure constraints are not configured.","Scale Review: company-01-creative-05","Strong relative performer against the Account-wide benchmark. Business validation is still missing, so this stays review-only.","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24","committed_sanitized_artifact_not_fresh_local_rerun"
"pr74","company-01|company-01-account-01|company-01-campaign-03|company-01-adset-04|company-01-creative-06","company-01","company-01-account-01","company-01-campaign-03","company-01-adset-04",,"company-01-creative-06","Cut","spend_waste","Cut","pause","keep_in_test","review_only","","429.67","7","29882",,,"false","2.13","61.38","0.59","104.2","1","6999","2.13",,"account","Account-wide","3.38","43.07","163.13","strong","{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""activeStatusSource"":""campaign_and_adset"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""campaignStatus"":""ACTIVE"",""adSetStatus"":""UNKNOWN"",""activeStatusSource"":""campaign_and_adset""}","false","false","operator_review_required","Performance slips back toward target instead of materially beating it.|A high-severity promo or blocker changes the account posture.|Top GEO economics or serviceability constraints tighten.|Keep monitoring efficiency drift after deployment.|missing_input:Target pack is not configured yet.|missing_input:Country economics are not configured for the live decision window.|missing_input:Site health and stock pressure constraints are not configured.","Cut: company-01-creative-06","Deterministic engine keeps this in test against the format + age benchmark.","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24","committed_sanitized_artifact_not_fresh_local_rerun"
"pr74","company-01|company-01-account-01|company-01-campaign-01|company-01-adset-01|company-01-creative-07","company-01","company-01-account-01","company-01-campaign-01","company-01-adset-01",,"company-01-creative-07","Refresh","needs_new_variant","Cut","pause","keep_in_test","review_only","","388.19","8","86769",,,"false","2.97","48.52","0","0","0","1382","3.41",,"account","Account-wide","3.38","43.07","163.13","strong","{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""activeStatusSource"":""campaign_and_adset"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""campaignStatus"":""PAUSED"",""adSetStatus"":""CAMPAIGN_PAUSED"",""activeStatusSource"":""campaign_and_adset""}","false","false","operator_review_required","Performance slips back toward target instead of materially beating it.|A high-severity promo or blocker changes the account posture.|Top GEO economics or serviceability constraints tighten.|Keep monitoring efficiency drift after deployment.|missing_input:Target pack is not configured yet.|missing_input:Country economics are not configured for the live decision window.|missing_input:Site health and stock pressure constraints are not configured.","Refresh: company-01-creative-07","Deterministic engine keeps this in test while monitoring early fatigue pressure.","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24","committed_sanitized_artifact_not_fresh_local_rerun"
"pr74","company-01|company-01-account-01|company-01-campaign-03|company-01-adset-05|company-01-creative-08","company-01","company-01-account-01","company-01-campaign-03","company-01-adset-05",,"company-01-creative-08","Refresh","fatigued_winner","Cut","pause","refresh_replace","review_only","","385.6","12","49632",,,"false","3.27","32.13","3.17","37.89","3","14027","2.6",,"account","Account-wide","3.35","45.93","163.13","strong","{""evidenceSource"":""live"",""trustState"":""live_confident"",""activeStatusSource"":""campaign_and_adset"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""compatible"",""campaignStatus"":""ACTIVE"",""adSetStatus"":""UNKNOWN"",""activeStatusSource"":""campaign_and_adset""}","false","false","operator_review_required","Performance slips back toward target instead of materially beating it.|A high-severity promo or blocker changes the account posture.|Top GEO economics or serviceability constraints tighten.|Keep monitoring efficiency drift after deployment.|missing_input:Target pack is not configured yet.|missing_input:Country economics are not configured for the live decision window.|missing_input:Site health and stock pressure constraints are not configured.","Refresh: company-01-creative-08","Deterministic engine treats this as fatigue-driven decay that needs replacement, not more budget.","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24","committed_sanitized_artifact_not_fresh_local_rerun"
"pr74","company-01|company-01-account-01|company-01-campaign-01|company-01-adset-01|company-01-creative-09","company-01","company-01-account-01","company-01-campaign-01","company-01-adset-01",,"company-01-creative-09","Watch","hold_monitor","Cut","pause","keep_in_test","review_only","","377.44","7","53023",,,"false","3.21","53.92","1.43","48.44","1","6321","3.5",,"account","Account-wide","3.38","43.07","163.13","strong","{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""activeStatusSource"":""campaign_and_adset"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""campaignStatus"":""PAUSED"",""adSetStatus"":""CAMPAIGN_PAUSED"",""activeStatusSource"":""campaign_and_adset""}","false","false","read_only_insight","Performance slips back toward target instead of materially beating it.|A high-severity promo or blocker changes the account posture.|Top GEO economics or serviceability constraints tighten.|Keep monitoring efficiency drift after deployment.|missing_input:Target pack is not configured yet.|missing_input:Country economics are not configured for the live decision window.|missing_input:Site health and stock pressure constraints are not configured.","Watch: company-01-creative-09","Deterministic engine keeps this in test while monitoring early fatigue pressure.","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24","committed_sanitized_artifact_not_fresh_local_rerun"
"pr74","company-01|company-01-account-01|company-01-campaign-03|company-01-adset-06|company-01-creative-10","company-01","company-01-account-01","company-01-campaign-03","company-01-adset-06",,"company-01-creative-10","Scale Review","scale_review","Scale","scale_hard","hold_no_touch","blocked","","321.8","16","35295",,,"false","8.32","20.11","4.13","29.03","4","11507","5.96",,"account","Account-wide","3.24","45.93","163.13","strong","{""evidenceSource"":""live"",""trustState"":""live_confident"",""activeStatusSource"":""campaign_and_adset"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""campaignStatus"":""ACTIVE"",""adSetStatus"":""UNKNOWN"",""activeStatusSource"":""campaign_and_adset""}","false","false","blocked_from_push","Performance slips back toward target instead of materially beating it.|A high-severity promo or blocker changes the account posture.|Top GEO economics or serviceability constraints tighten.|Keep monitoring efficiency drift after deployment.|missing_input:Target pack is not configured yet.|missing_input:Country economics are not configured for the live decision window.|missing_input:Site health and stock pressure constraints are not configured.","Scale Review: company-01-creative-10","Strong relative performer against the Account-wide benchmark. Business validation is still missing, so this stays review-only.","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24","committed_sanitized_artifact_not_fresh_local_rerun"
