rowId,companyId,accountId,campaignId,adSetId,creativeId,currentOperatorDecision,v2PrimaryDecision,v2Actionability,v2Confidence,v2ReasonTags,v2RiskLevel,v2ProblemClass,v2QueueEligible,v2ApplyEligible,spend,purchases,impressions,roas,cpa,recentRoas,recentPurchases,longWindowRoas,activeBenchmarkRoas,activeBenchmarkCpa,peerMedianSpend,activeStatus,campaignStatus,adSetStatus,campaignAdsetBlockerFlags,trustSourceProvenanceFlags,changedFromCurrent
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-16,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-16,Diagnose,Diagnose,diagnose,84,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,4.75,0,2347,0,0,0,0,1.84,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-17,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-17,Test More,Diagnose,diagnose,84,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,4.56,3,1838,48.3,1.52,0,0,33.37,5.44,12.82,39.6,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,true
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-18,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-18,Test More,Diagnose,diagnose,75,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,4.35,2,1912,13.75,2.17,0,0,3.74,5.44,12.82,39.6,true,ACTIVE,ACTIVE,,trust_degraded_missing_truth;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_read_only_insight,true
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-19,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-19,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,3.36,0,1042,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-20,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-20,Diagnose,Diagnose,diagnose,75,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,3.03,0,1270,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_degraded_missing_truth;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-21,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-21,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,2.91,0,1291,0,0,0,0,1.41,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-22,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-22,Diagnose,Diagnose,diagnose,81,source_inactive_or_immaterial;data_quality_blocker,medium,data-quality,false,false,2.53,0,1099,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_inactive_or_immaterial;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-23,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-23,Diagnose,Test More,review_only,82,thin_data;positive_probe_signal,low,insufficient-signal,false,false,2.51,1,1004,27.57,2.51,98.84,1,9.29,5.44,12.82,39.6,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,true
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-02|company-06-creative-24,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-02,company-06-creative-24,Diagnose,Diagnose,diagnose,75,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,2.47,0,723,0,0,0,0,0,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_degraded_missing_truth;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
company-06|company-06-account-01|company-06-campaign-01|company-06-adset-01|company-06-creative-25,company-06,company-06-account-01,company-06-campaign-01,company-06-adset-01,company-06-creative-25,Diagnose,Diagnose,diagnose,84,thin_data;no_recent_conversion,medium,insufficient-signal,false,false,2.41,0,514,0,0,0,0,11.35,5.69,12.14,32.68,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,false
